,Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Cloud Cover_clear,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Location_coastal,Location_inland,Location_mountain,Weather Type
3037,-1.0428148792295515,-0.22821707798001012,-1.133584368068717,0.23160903767224378,-0.6291994934105635,-0.785146344144231,-0.2895499728990174,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
12523,1.432544412544131,-1.7096663803603382,-1.2059106519977218,-1.1122324116787965,0.2868644754652226,0.7707562100414407,0.30344837159817023,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
7730,0.05094852876347092,-0.22821707798001012,-0.6273003805656835,-0.5809462572841992,0.3643938639344891,-0.5258292517799524,0.8964467160953579,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
8379,-1.7336128211198816,0.1668360693214107,-0.7719529484236931,0.4503739247759015,-4.050812197492826,2.585975856591391,4.009688024705593,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3
3005,0.2812145093935809,-0.1788354345673325,-0.9889318002107074,-1.487257932427924,0.3993217795588705,1.0300733024057194,0.7481971299710609,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3
8664,0.5690469851812184,-0.1294537911546549,0.3852675944403834,0.1378526574849619,0.15985387319474786,-1.0444634365085097,-0.14130038677472048,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
13130,-0.9276818889144965,0.46312592979747635,0.7468990140854073,0.856651572254123,-0.24102334022143168,-1.0444634365085097,-1.1790474896447989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2
3932,-2.136578287222574,0.21621771273408832,-0.33799524484966437,0.012844150568586054,-4.679514678731667,1.8080245794985552,0.30344837159817023,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
5950,0.8568794609688559,-2.2034828144871144,-0.33799524484966437,-1.5497621858861121,0.29559645437131565,1.8080245794985552,0.30344837159817023,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
10405,1.432544412544131,-2.2528644578997916,-0.7719529484236931,-1.518510059157018,0.45065523130985174,1.289390394769998,0.4516979577224671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3
